replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,utilization
1,4,5,36.34,0.53,13,16,0.399,0.587,0.20992933001022784,60.02079337460317,9224.42,0.53,0,36,0.99875
1,6,5,0.53,17.53,36,47,0.597,0.635,0.20986698309433766,60.71195977460317,229.55,17.53,0,36,0.9975
5,6,8,17.53,26.31,24,29,0.408,0.656,0.19750013020019586,61.450626374603175,147.76,26.32,0,36,0.75
4,7,9,26.31,26.23,57,63,0.497,0.679,0.3910705187710075,62.32662646349206,61.47,26.24,0,27,0.7322222222222223
3,8,9,26.23,27.33,73,79,0.624,0.633,0.7970833125158636,63.22329313015873,30.43,27.33,0,27,0.7416666666666667
2,6,8,27.33,24.48,91,108,0.571,0.673,0.20482198202094845,63.98987646349207,163.9,24.48,0,36,0.8964583333333334
1,9,5,24.48,33.1,207,242,0.835,0.612,0.2081898621215311,64.92693221904763,114.45,33.09,0,36,0.9638888888888888
4,8,7,33.1,45.4,151,162,0.586,0.683,0.8022772570918542,65.86857507619048,45.51,45.42,0,45,0.854107142857143
5,9,7,45.4,37.72,141,145,0.432,0.664,0.7957149252497019,66.75428936190477,25.16,37.71,0,36,0.7142857142857144
3,8,4,37.72,36.94,272,281,0.441,0.661,0.7987812066781225,67.66453936190477,27.71,36.93,0,36,0.775625
1,4,6,36.94,1.4,15,20,0.4,0.574,0.20891076355233063,68.0869838952381,2542.5,1.4,0,27,0.9783333333333333
3,5,9,1.4,18.47,75,82,0.405,0.717,0.2001666666280864,68.81876162857144,161.36,18.47,0,27,0.8033333333333333
2,8,8,18.47,35.44,261,288,0.614,0.685,0.2609850043941365,69.73417802857143,64.38,35.44,0,36,0.811875
4,6,6,35.44,33.12,36,41,0.474,0.635,0.20474910715849234,70.64401122857143,106.19,33.11,0,36,0.895
4,7,8,33.12,36.0,108,115,0.521,0.731,0.8013811417232858,71.57561837142858,41.88,36.0,0,36,0.8290178571428571
1,4,7,36.0,3.48,43,57,0.397,0.629,0.20727357643429373,72.01183285714286,1294.45,3.48,0,36,0.9455357142857144
3,9,9,3.48,36.4,198,207,0.498,0.738,0.794334847071787,72.88649952380953,21.09,36.4,0,36,0.6866666666666666
4,9,9,36.4,25.16,158,161,0.316,0.783,0.7905266902438577,73.68961034603176,37.59,25.15,0,27,0.6105555555555555
5,8,7,25.16,27.83,91,98,0.423,0.649,0.7963976152295115,74.58078891746032,28.7,27.83,0,27,0.7279464285714285
2,5,8,27.83,15.93,66,83,0.492,0.574,0.20253736385272803,75.18658891746033,254.19,15.93,0,36,0.8507499999999999
1,6,8,15.93,16.23,14,17,0.586,0.609,0.20344757512994152,75.80483885079366,248.76,16.24,0,36,0.8689583333333333
5,4,6,16.23,6.48,42,49,0.332,0.645,0.2057484162788241,76.24283885079366,967.85,6.48,0,54,0.915
4,4,8,6.48,1.93,24,29,0.341,0.682,0.20262484927796384,76.61600545079366,2471.65,1.93,0,36,0.8525
5,9,8,1.93,36.78,141,145,0.454,0.682,0.7939250695239504,77.48739433968255,31.61,36.79,0,36,0.6784722222222223
1,8,6,36.78,24.19,83,104,0.772,0.661,0.2091186736111993,78.41794993968256,115.86,24.19,0,27,0.9824999999999999
3,8,9,24.19,27.69,225,238,0.384,0.784,0.7937796662923966,0.0,29.12,27.68,0,27,0.6755555555555556
4,9,9,27.69,36.8,164,170,0.479,0.713,0.7931138228034835,0.8648888888888888,24.44,36.82,0,36,0.6622222222222222
6,8,4,36.8,36.5,94,98,0.433,0.627,0.798531245295758,1.7731388888888888,26.45,36.51,0,36,0.770625
6,5,7,36.5,14.47,21,24,0.435,0.596,0.20303548117543954,2.358591003174604,287.46,14.47,0,36,0.8607142857142858
3,5,5,14.47,32.25,274,289,0.346,0.735,0.20229989882752972,3.234324603174604,103.51,32.24,0,36,0.846
3,7,6,32.25,36.38,138,146,0.511,0.63,0.6864527638075577,4.180324603174603,57.16,36.37,0,36,0.865
2,5,9,36.38,13.53,77,93,0.475,0.608,0.20063888671572247,4.806102314285715,308.24,13.53,0,27,0.8127777777777778
2,5,5,13.53,15.67,62,79,0.493,0.599,0.20964251836632464,5.725635914285715,116.29,15.67,0,18,0.993
5,5,7,15.67,14.57,51,56,0.449,0.74,0.20744655613121235,6.299502714285715,477.65,14.57,0,45,0.9490000000000001
4,4,7,14.57,4.77,18,22,0.373,0.629,0.20577517976205423,6.745217000000001,917.09,4.77,0,36,0.9155357142857143
3,4,7,4.77,29.06,18,21,0.208,0.704,0.1980000666640001,7.533717000000001,137.63,29.07,0,36,0.76
2,7,9,29.06,34.44,139,156,0.607,0.68,0.2005724350449514,8.432256882539683,83.4,34.44,0,36,0.8113492063492064
5,7,5,34.44,37.1,72,79,0.448,0.634,0.8009754678670988,9.360256882539684,39.79,37.1,0,36,0.8200000000000001
4,8,5,37.1,26.34,120,128,0.413,0.628,0.7978995077523691,10.248840482539684,37.23,26.34,0,27,0.7581249999999999
1,5,5,26.34,6.24,8,10,0.488,0.567,0.2093930845770701,10.782707082539684,554.52,6.24,0,27,0.988
6,6,5,6.24,31.77,16,19,0.396,0.585,0.20149997279179688,11.644207082539683,100.6,31.77,0,36,0.8300000000000001
